07,09,2012,17.6,25.8,18.7,0.6,3.7,88.2,326.3,5.9,118.1,6.9,not fire
20,06,2012,20.7,45.5,18.0,0.4,50.5,57.2,228.0,4.0,186.9,21.8,fire
29,11,2012,15.4,85.0,20.7,0.6,40.3,33.2,198.9,1.7,1.7,0.0,not fire
15,11,2012,23.6,36.2,11.2,0.4,63.5,72.3,162.4,26.0,9.6,5.1,not fire
11,01,2012,31.8,47.0,20.1,0.7,62.1,50.8,490.7,8.8,38.3,20.4,fire
08,01,2012,22.8,25.1,0.2,2.0,12.1,49.9,67.4,0.1,33.5,0.0,not fire
29,02,2012,18.6,77.2,23.1,0.9,97.7,11.0,157.4,6.7,36.2,16.5,fire
21,09,2012,30.1,50.6,11.1,1.2,18.7,39.0,242.7,10.2,134.4,8.6,not fire
07,03,2012,30.8,76.9,13.8,0.5,44.5,24.1,239.0,29.7,91.9,7.9,not fire
26,01,2012,18.5,87.8,6.4,1.3,48.8,1.6,235.7,15.7,198.4,6.8,not fire
19,05,2012,30.4,37.5,18.6,1.1,81.3,36.0,87.9,6.1,45.4,9.7,not fire
23,07,2012,33.9,80.6,1.9,0.1,9.9,9.0,72.5,10.0,62.2,6.8,not fire
11,06,2012,18.3,24.4,21.8,0.9,42.9,25.7,127.4,9.9,196.8,9.5,not fire
11,12,2012,30.4,87.4,20.7,0.3,62.9,9.3,457.3,0.6,166.4,10.8,fire
24,01,2012,29.2,68.8,5.4,1.6,21.5,10.1,56.5,4.1,94.0,5.6,not fire
21,05,2012,24.5,85.6,20.2,0.6,62.7,19.9,378.7,20.9,110.9,13.9,fire
04,05,2012,16.2,20.0,19.7,5.2,92.4,100.0,378.8,3.6,168.6,25.8,fire
08,06,2012,16.5,32.7,15.8,0.1,99.8,0.2,404.9,6.9,96.2,12.1,fire
24,03,2012,32.0,49.2,9.3,1.5,3.2,63.9,443.3,10.5,41.2,14.2,fire
03,05,2012,34.8,48.5,6.8,1.1,23.6,14.1,131.5,22.7,165.7,5.6,not fire
22,07,2012,28.5,37.0,5.8,1.5,31.0,92.1,112.3,17.5,107.6,7.1,not fire
21,05,2012,23.9,48.6,8.0,0.4,39.9,9.4,232.8,20.7,30.6,11.9,fire
02,05,2012,28.0,29.7,22.6,0.7,24.2,95.5,132.5,17.0,101.1,12.0,fire
24,05,2012,26.9,51.0,1.9,1.6,20.3,61.1,367.2,20.5,82.6,16.5,fire
12,10,2012,22.7,80.2,20.7,0.3,95.5,0.1,318.0,0.1,175.4,20.7,fire
30,10,2012,16.3,55.9,8.7,0.3,91.9,89.4,437.5,27.9,25.2,21.7,fire
06,03,2012,31.4,21.4,13.0,0.8,4.7,52.2,41.4,3.3,175.0,13.5,fire
02,01,2012,22.4,51.6,19.9,0.7,33.9,26.3,457.5,12.2,102.4,0.0,not fire
28,05,2012,31.4,22.0,22.1,0.3,40.5,76.7,146.7,23.1,80.9,16.8,fire
21,09,2012,20.1,92.5,8.6,0.4,23.9,92.7,245.3,13.1,32.4,15.6,fire
